nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
2	1.92212	324.55355	8.64896	0.00000	0.73661	5.30467	3.81994	1.19200	0.67109	0.01028	0.02132	7.42939	0.92433	0.92433	0.04749	0.06193	1.15156	0.70741	218.34663	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
4	0.54466	0.53783	0.10215	0.00000	1.93025	2.53714	2.24857	5.04209	0.43714	0.43136	0.02356	10.63419	0.01294	0.01294	0.00053	0.00087	5872.32371	0.02889	2110.35708	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
4	1.21571	2.29697	2.34131	0.00000	1.93025	6.22230	4.08414	5.88353	0.38179	0.27732	0.04180	10.63419	0.03407	0.03407	0.00200	0.00228	847.48209	0.59811	1331.58945	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
4	1.22200	17.19192	3.26278	0.00000	1.93025	3.64909	5.06530	5.68690	0.32752	0.43558	0.01495	10.63419	0.13037	0.13037	0.00365	0.00873	57.88562	0.91685	695.21141	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
5	2.95380	74.49265	17.14858	0.00000	1.82908	5.31733	0.26294	3.19169	0.37342	0.27111	0.05019	1.19405	0.34651	0.34651	0.02216	0.02321	8.19443	0.48139	418.96522	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
5	1.16988	187.64525	1.90274	0.00000	1.82908	0.36159	4.51215	3.15457	0.20135	0.15963	0.08862	1.19405	0.64150	0.64150	0.01343	0.04298	2.39085	0.00337	327.17599	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
5	1.24345	321.84376	1.98333	0.00000	1.82908	1.47678	3.94351	2.64656	0.43706	0.08694	0.05841	1.19405	0.91918	0.91918	0.05890	0.06158	1.16451	0.18595	250.44118	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
7	9.25797	3.85623	547.72879	0.00000	2.14223	2.06564	4.84915	4.62595	0.52844	0.19655	0.04578	613.15990	0.04813	0.04813	0.00322	0.00322	424.73699	0.33975	1047.05142	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
7	1.17542	110.76834	1.68009	0.00000	2.14223	2.07188	1.65317	1.68547	0.11840	0.50241	0.07241	613.15990	0.45142	0.45142	0.02983	0.03024	4.82817	0.40497	399.77601	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
7	2.88992	386.76190	1.86368	0.00000	2.14223	6.18641	1.84300	6.15218	0.40680	0.02363	0.02796	613.15990	1.03896	1.03896	0.03854	0.06961	0.91148	0.02070	238.66586	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
8	0.58375	378.22180	0.10648	0.00000	1.83766	3.94254	4.88100	4.10653	0.55046	0.16380	0.03210	1.45727	1.02361	1.02361	0.06260	0.06858	0.93902	0.14102	224.34435	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
9	0.67779	95.13210	0.24411	0.00000	1.81133	3.12284	6.21484	2.95246	0.53863	0.36628	0.01275	0.31293	0.40787	0.40787	0.02648	0.02733	5.91426	0.20444	357.71810	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	1.30137	0.80180	4.27259	0.00000	2.09549	4.29769	5.12852	1.69556	0.72566	0.05619	0.08005	0.31190	0.00776	0.00776	0.00048	0.00053	13.42455	0.12766	385.56908	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
0	3.31647	1.69879	4.27259	0.00000	2.09549	4.16230	0.12274	5.12355	0.58695	0.52065	0.03569	0.31190	0.01280	0.01280	0.00059	0.00088	4.93324	0.78418	332.53447	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
0	1.66545	6.66405	5.25741	0.00000	2.09549	6.25075	2.33357	3.67063	0.24608	0.23023	0.01900	0.31190	0.03185	0.03185	0.00213	0.00219	0.79738	0.44656	245.07688	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
1	0.94366	8.47277	1.45303	0.00000	0.88926	4.42672	1.41481	5.38122	0.53989	0.36649	0.06719	0.49183	0.03737	0.03737	0.00238	0.00257	0.57892	0.15119	199.95121	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
1	0.95844	47.01121	0.93996	0.00000	0.88926	6.10023	4.65768	5.86648	0.29452	0.27498	0.09310	0.49183	0.11714	0.11714	0.00583	0.00807	0.05894	0.74406	125.68146	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
1	1.01181	74.97886	2.39038	0.00000	0.88926	2.90509	2.36766	1.71689	0.04532	0.25576	0.00665	0.49183	0.15990	0.15990	0.00857	0.01101	0.03163	0.69780	116.02040	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
2	0.98607	235.22184	0.88325	0.00000	1.21323	0.55651	2.30807	3.10536	0.34894	0.19789	0.04626	0.57511	0.34267	0.34267	0.01648	0.02360	0.00689	0.76198	72.02159	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
2	3.76646	496.96208	6.74323	0.00000	1.21323	4.51086	1.69939	2.13892	0.09516	0.20907	0.02877	0.57511	0.56421	0.56421	0.03106	0.03886	0.00254	0.67834	60.94232	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
3	2.49452	11.50149	8.29751	0.00000	1.71514	4.95029	5.72404	2.73314	0.23860	0.20616	0.04252	348.78944	0.04582	0.04582	0.00183	0.00316	0.38516	0.02411	204.81809	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
3	1.26532	24.61422	1.51458	0.00000	1.71514	0.25335	0.21941	0.56895	0.67193	0.42438	0.05662	348.78944	0.07609	0.07609	0.00373	0.00524	0.13966	0.04963	128.76928	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
3	1.37046	214.57154	2.29325	0.00000	1.71514	5.88816	4.49123	2.09841	0.53407	0.06254	0.06430	348.78944	0.32231	0.32231	0.02119	0.02220	0.00778	0.18333	68.30288	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
4	0.52792	1.28977	0.06888	0.00000	1.30219	1.82790	6.27816	3.42875	0.11807	0.30765	0.01789	359.72399	0.01066	0.01066	0.00071	0.00073	7.12256	0.46406	440.62715	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
4	1.74621	2.60945	5.83192	0.00000	1.30219	3.04230	0.95913	2.65692	0.75720	0.45143	0.08219	359.72399	0.01704	0.01704	0.00105	0.00117	2.78347	0.56996	252.35622	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
4	3.24291	8.01687	7.79694	0.00000	1.30219	3.50650	4.51908	5.47434	0.73913	0.41929	0.02242	359.72399	0.03602	0.03602	0.00212	0.00248	0.62323	0.62185	176.73520	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
4	1.46489	26.46783	2.76391	0.00000	1.30219	2.13534	2.87359	4.39419	0.41895	0.37136	0.04666	359.72399	0.07987	0.07987	0.00328	0.00550	0.12677	0.02647	144.99894	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
4	1.08825	167.45987	0.93996	0.00000	1.30219	5.11314	0.82168	0.61673	0.70810	0.27089	0.06326	359.72399	0.27321	0.27321	0.00554	0.01882	0.01083	0.00280	66.00164	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
4	2.70864	293.64677	3.33116	0.00000	1.30219	3.99637	2.66790	1.37645	0.31561	0.19335	0.08251	359.72399	0.39729	0.39729	0.01789	0.02737	0.00512	0.79331	67.72798	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
5	0.72766	2.84591	0.39334	0.00000	1.98588	5.56648	4.47279	4.63766	0.37609	0.31490	0.00203	111.32153	0.01806	0.01806	0.00119	0.00124	2.47946	0.18967	310.40197	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
5	1.54531	19.98279	2.59716	0.00000	1.98588	5.43830	3.67264	3.09144	0.41994	0.48417	0.06528	111.32153	0.06622	0.06622	0.00413	0.00456	0.18441	0.13563	159.17218	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
5	0.50381	46.70108	0.14534	0.00000	1.98588	1.20025	0.20637	3.42683	0.35699	0.26035	0.01118	111.32153	0.11662	0.11662	0.00725	0.00803	0.05946	0.56448	123.07273	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
5	0.62621	57.65457	0.28817	0.00000	1.98588	5.95098	1.13388	2.75779	0.18586	0.33403	0.07303	111.32153	0.13421	0.13421	0.00723	0.00924	0.04490	0.69444	121.69693	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
5	0.52840	71.12571	0.10429	0.00000	1.98588	3.06054	4.45548	1.12229	0.71879	0.11318	0.09015	111.32153	0.15438	0.15438	0.00856	0.01063	0.03393	0.67283	86.98886	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
5	0.53489	234.85730	0.08653	0.00000	1.98588	0.39515	4.34168	1.31543	0.43970	0.11172	0.02018	111.32153	0.34232	0.34232	0.01990	0.02358	0.00690	0.63338	69.40430	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
6	2.24800	310.28090	4.18489	0.00000	0.56715	4.08452	4.48072	5.26513	0.27288	0.17541	0.00716	244.42611	0.41216	0.41216	0.02798	0.02839	0.00476	0.40767	67.50986	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
7	0.62974	5.97888	0.23419	0.00000	0.65002	0.61697	3.08328	0.21132	0.09151	0.22232	0.08968	3.35875	0.02962	0.02962	0.00203	0.00204	0.92149	0.36578	266.23017	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
7	1.61249	17.92766	4.09898	0.00000	0.65002	3.88927	1.15074	4.42418	0.36463	0.52185	0.05851	3.35875	0.06160	0.06160	0.00390	0.00424	0.21312	0.54016	168.83611	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
7	0.73424	28.23833	0.40159	0.00000	0.65002	4.75441	2.37512	1.58320	0.49590	0.04368	0.05218	3.35875	0.08339	0.08339	0.00516	0.00574	0.11629	0.57039	136.95102	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
7	3.34466	84.10114	13.93632	0.00000	0.65002	3.29338	5.40701	2.88071	0.68982	0.53032	0.09512	3.35875	0.17262	0.17262	0.00994	0.01189	0.02714	0.09306	84.30512	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
7	0.63574	166.19369	0.13657	0.00000	0.65002	5.90681	1.57110	3.90605	0.55968	0.48621	0.08383	3.35875	0.27183	0.27183	0.01684	0.01872	0.01094	0.56751	73.33095	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
8	2.05356	38.03737	3.69518	0.00000	1.93204	5.02147	6.26738	1.00243	0.68961	0.28863	0.03230	0.67191	0.10171	0.10171	0.00438	0.00701	0.07817	0.03125	109.84768	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
8	0.64623	196.84591	0.22467	0.00000	1.93204	4.97701	6.26642	1.29543	0.05873	0.57071	0.01887	0.67191	0.30431	0.30431	0.00932	0.02096	0.00873	0.01014	83.80488	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
8	1.15872	429.00427	1.42320	0.00000	1.93204	3.91924	3.78930	4.66838	0.60781	0.10841	0.09373	0.67191	0.51153	0.51153	0.02248	0.03524	0.00309	0.03348	51.93231	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
9	1.47984	0.62793	3.61933	0.00000	1.56429	5.58813	6.11716	3.95805	0.15238	0.52362	0.09686	0.85265	0.00659	0.00659	0.00036	0.00045	18.59655	0.68144	554.57804	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
9	3.03492	1.62155	7.96035	0.00000	1.56429	4.71490	5.89235	1.64222	0.69882	0.18078	0.00707	0.85265	0.01241	0.01241	0.00027	0.00085	5.24901	0.00342	312.09049	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
9	0.93396	199.14971	1.08683	0.00000	1.56429	2.31384	2.71753	5.33951	0.67751	0.00006	0.07694	0.85265	0.30668	0.30668	0.00426	0.02112	0.00860	0.00089	63.86825	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
0	1.91958	12.68430	2.94136	0.00000	2.41593	2.06219	5.24864	4.46529	0.67285	0.29846	0.06805	0.42499	0.11249	0.11249	0.00855	0.00871	161.23540	0.41864	750.07852	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
0	2.15143	17.87618	10.86556	0.00000	2.41593	5.80834	3.15594	5.85081	0.78902	0.50358	0.09002	0.42499	0.14140	0.14140	0.01054	0.01095	102.04295	0.19523	599.52841	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
0	2.58998	90.19433	4.54690	0.00000	2.41593	2.34745	3.41307	5.87026	0.20856	0.10471	0.07753	0.42499	0.41596	0.41596	0.03207	0.03221	11.79171	0.27293	486.46667	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
1	1.62705	173.97198	6.33642	0.00000	1.53273	1.21634	4.56856	4.39518	0.29945	0.49885	0.05575	287.27087	0.64454	0.64454	0.04471	0.04991	4.91108	0.12804	379.05929	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
1	1.28221	399.85922	2.59716	0.00000	1.53273	0.44296	1.94915	4.27672	0.78076	0.34971	0.08648	287.27087	1.12254	1.12254	0.08678	0.08692	1.61910	0.34745	214.83410	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
2	2.98243	27.79424	12.05291	0.00000	2.52167	1.99179	5.70643	3.92341	0.71447	0.21466	0.08903	3.37245	0.18977	0.18977	0.01459	0.01470	56.65124	0.37969	558.17281	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
3	1.43676	20.80143	4.27259	0.00000	1.74244	0.99255	4.75184	4.27072	0.74018	0.12234	0.05001	132.49922	0.15643	0.15643	0.01118	0.01211	83.37291	0.14944	600.45009	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
3	1.64899	54.35200	3.61933	0.00000	1.74244	4.00715	3.80432	0.39926	0.13564	0.00173	0.03121	132.49922	0.29676	0.29676	0.01171	0.02298	23.16657	0.87624	588.76609	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
4	0.63422	2.51033	0.15467	0.00000	0.50993	2.73758	4.18137	1.28368	0.71791	0.34543	0.00688	1.30540	0.03820	0.03820	0.00276	0.00296	1398.00071	0.51686	1240.30013	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
4	2.05724	20.09871	8.47141	0.00000	0.50993	5.78003	2.74360	0.12335	0.00778	0.37176	0.05472	1.30540	0.15289	0.15289	0.01173	0.01184	87.28204	0.25491	849.05719	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
4	4.23283	74.61611	14.52661	0.00000	0.50993	1.84339	6.21448	2.34345	0.31638	0.08116	0.00429	1.30540	0.36657	0.36657	0.02635	0.02838	15.18352	0.15457	499.57430	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
4	1.31771	327.76838	2.59716	0.00000	0.50993	1.71113	2.85571	0.73081	0.77550	0.50546	0.08732	1.30540	0.98320	0.98320	0.07443	0.07613	2.11054	0.43040	230.91775	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
5	1.51421	4.33978	6.07894	0.00000	2.72805	5.80906	1.00128	0.90571	0.79962	0.15084	0.01450	2.24633	0.05503	0.05503	0.00394	0.00426	673.79235	0.15182	948.73793	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
5	0.66039	7.52457	0.22938	0.00000	2.72805	0.43138	3.14538	6.23670	0.44986	0.47918	0.08999	2.24633	0.07942	0.07942	0.00615	0.00615	323.47436	0.30978	1016.55688	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
5	0.50294	32.11409	0.17157	0.00000	2.72805	1.49264	1.81548	4.87329	0.24504	0.33437	0.00292	2.24633	0.20896	0.20896	0.01598	0.01618	46.72562	0.24304	678.30263	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
5	3.79767	158.36004	12.30552	0.00000	2.72805	1.21569	5.07437	4.93791	0.53527	0.10103	0.09767	2.24633	0.60538	0.60538	0.04570	0.04688	5.56701	0.43761	352.98689	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
5	1.69155	322.06156	6.46922	0.00000	2.72805	0.57939	5.27661	4.12643	0.75430	0.23278	0.00795	2.24633	0.97176	0.97176	0.07524	0.07525	2.16055	0.31395	237.57147	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
6	1.23025	5.61655	1.51458	0.00000	2.05810	3.96274	5.17507	5.78397	0.00975	0.59517	0.08450	4.70529	0.06535	0.06535	0.00238	0.00506	477.73802	0.89509	1298.03823	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
6	6.37953	99.33091	44.52425	0.00000	2.05810	1.52969	3.59895	3.04694	0.30869	0.06556	0.00045	4.70529	0.44360	0.44360	0.03262	0.03435	10.36820	0.17733	455.40422	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
6	1.16030	450.98334	1.61182	0.00000	2.05810	0.38129	0.10412	2.35946	0.73258	0.41916	0.00352	4.70529	1.21629	1.21629	0.07839	0.09418	1.37912	0.09147	216.89576	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
8	3.86285	13.19255	19.02253	0.00000	1.28572	3.05740	6.05054	6.19252	0.17470	0.22014	0.00473	0.07302	0.11547	0.11547	0.00852	0.00894	153.00688	0.48567	933.00512	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
9	6.84665	1.51415	68.82794	0.00000	1.80671	6.25995	3.00504	4.02378	0.19878	0.46386	0.07840	8.33313	0.02727	0.02727	0.00159	0.00211	2743.20307	0.06067	1905.70842	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
0	2.37619	4.03359	12.05291	0.00000	2.94166	2.75049	2.34524	0.91129	0.10171	0.45259	0.00008	0.81571	0.04252	0.04252	0.00329	0.00329	58.50052	0.32978	749.37174	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
0	0.56507	11.61111	0.07964	0.00000	2.94166	2.34164	5.41305	0.88545	0.22089	0.14156	0.04423	0.81571	0.08603	0.08603	0.00666	0.00666	14.28622	0.31679	508.37274	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
0	2.25567	64.49441	6.20634	0.00000	2.94166	4.64470	3.26251	1.55106	0.29965	0.03343	0.05218	0.81571	0.26984	0.26984	0.02047	0.02089	1.45229	0.42334	279.50881	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
0	0.50735	213.59740	0.09020	0.00000	2.94166	2.26488	5.02162	0.14185	0.29880	0.40573	0.00699	0.81571	0.59954	0.59954	0.04566	0.04641	0.29419	0.41277	187.57238	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
0	2.77116	299.86846	5.59494	0.00000	2.94166	0.69936	6.14599	0.47464	0.25877	0.10187	0.03023	0.81571	0.75169	0.75169	0.05806	0.05818	0.18714	0.28612	169.85804	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
1	0.68612	28.19302	0.33320	0.00000	1.89502	3.50304	2.54592	2.43989	0.33223	0.16890	0.03686	0.82960	0.15542	0.15542	0.00492	0.01203	4.37751	0.92046	363.92924	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
1	1.51864	363.08316	3.93242	0.00000	1.89502	2.75048	2.83128	6.25612	0.62681	0.53870	0.02763	0.82960	0.85393	0.85393	0.06276	0.06610	0.14501	0.17723	134.24170	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
2	0.56706	8.76018	0.12833	0.00000	0.36390	0.64581	4.33330	3.59643	0.46419	0.26064	0.06101	1.61636	0.07130	0.07130	0.00516	0.00552	20.80010	0.16112	508.53721	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
2	0.55061	35.77737	0.17517	0.00000	0.36390	3.50492	5.40667	4.20355	0.69030	0.52473	0.08022	1.61636	0.18218	0.18218	0.01407	0.01410	3.18619	0.35181	277.39964	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
3	0.70473	17.28743	0.22006	0.00000	0.66414	6.14806	4.11986	4.10560	0.27937	0.44996	0.02676	1.07101	0.11218	0.11218	0.00711	0.00868	8.40315	0.08525	436.60823	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
4	1.73939	10.35941	2.49163	0.00000	1.99191	5.51636	0.60005	5.55195	0.28002	0.54710	0.06695	0.99248	0.07973	0.07973	0.00613	0.00617	16.63294	0.38028	517.75755	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
4	2.32445	163.40311	22.92664	0.00000	1.99191	1.89312	0.15030	1.29339	0.70350	0.54808	0.09192	0.99248	0.50148	0.50148	0.01649	0.03882	0.42047	0.00879	165.38455	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
5	1.09600	4.22150	0.93996	0.00000	0.96696	4.81786	5.12060	0.19208	0.65477	0.16212	0.07568	1.70126	0.04383	0.04383	0.00249	0.00339	55.05464	0.73469	581.13611	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
5	0.96469	105.71722	0.81293	0.00000	0.96696	1.68266	0.46577	5.60901	0.51820	0.36050	0.01143	1.70126	0.37513	0.37513	0.02861	0.02904	0.75143	0.40809	215.89482	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
5	0.51213	415.45224	0.06747	0.00000	0.96696	3.54014	3.39988	1.99141	0.11764	0.51548	0.09467	1.70126	0.93418	0.93418	0.05552	0.07231	0.12117	0.70652	159.15180	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
6	1.37620	409.20742	2.15490	0.00000	2.76146	3.94845	1.58867	5.44155	0.30675	0.31686	0.09209	0.83091	0.92480	0.92480	0.06927	0.07158	0.12364	0.20242	150.59694	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
7	1.44970	0.54715	3.13020	0.00000	1.31627	5.81970	5.03541	5.68013	0.51025	0.12228	0.00371	5.26988	0.01122	0.01122	0.00032	0.00087	839.34713	0.93565	1253.23794	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
